property_details_id,property_id,description,square_footage,lot_size,year_built,heating_type,cooling_type,parking,amenities,last_updated,land_size,zoning_type,title_type
32,32,Tend man then sometimes chance president likely. Particularly easy discover be trip father sea sit. Identify people difference be discussion option enjoy. Culture certain small language responsibility even administration. Laugh really if feel spend left focus. A fantastic property in Nassarawa GRA.,5218,774,2023,Window Unit,Split System AC,4,"Garden, Servant's Quarters, Gym, Balcony, Swimming Pool",2025-08-17 19:03:16,,,
33,33,Couple must prove modern. And protect figure ask around change quality. Do kitchen gas watch because American lose. Cause street second million town keep. A fantastic property in Victoria Island.,2947,998,2014,Window Unit,Central AC,3,"Swimming Pool, Water Heater, Servant's Quarters, Garden, Gym",2025-08-17 19:03:16,,,
34,34,Hot city rise reality least degree try. Natural guess individual likely owner kid environment. Right sign Congress scene occur. A fantastic property in Oluyole.,1596,640,2024,Split System AC,None,5,"Water Heater, CCTV, 24/7 Security, Balcony",2025-08-17 19:03:16,,,
35,35,Eye base push. Method political money environmental policy. Lay tell wrong important. Material feel hot fear heavy. Decision car option measure international. A fantastic property in Oluyole.,1613,1102,2013,Window Unit,Central AC,5,"Balcony, Gym, Fitted Kitchen, Swimming Pool",2025-08-17 19:03:16,,,
36,36,Resource son audience face plant. Despite guy range reveal. Describe class chair political hundred popular performance. Whole anything mention Republican lay team. A fantastic property in Bodija.,2708,736,1999,Central AC,Window Unit,3,"Water Heater, Garden, 24/7 Security",2025-08-17 19:03:16,,,
37,37,Area during now visit voice. Physical method relationship organization above. Build factor human look collection hospital effort. Tell future still notice official kid shake. A fantastic property in Ikoyi.,1838,1159,2016,Central AC,Central AC,5,"Servant's Quarters, Water Heater, Gym, Balcony, Garden",2025-08-17 19:03:16,,,
38,38,Test bad later because main bill finish. Figure my century positive meet star age. Cold develop seek improve face. A fantastic property in Ikoyi.,4433,475,1995,Window Unit,Split System AC,2,"Garden, Water Heater, Servant's Quarters",2025-08-17 19:03:16,,,
39,39,Manage half investment brother. Individual shake watch. Administration enter cold identify. Effort material agree site brother. Top table finally she heavy. Study type everyone assume. A fantastic property in Wuse 2.,,1187,,,,,"CCTV, Fitted Kitchen, Balcony",2025-08-17 19:03:16,823,Mixed-Use,Governor's Consent
40,40,Order century work fall win. Happen make management trial when. Say relate nor. Teacher card major movement return activity any. A fantastic property in Asokoro.,1349,493,1995,Central AC,None,2,"24/7 Security, Water Heater, Swimming Pool, Garden",2025-08-17 19:03:16,,,
41,41,Which agency simply then lot thought serious. West thing kind. From wall safe name audience. Cause talk sometimes stuff treatment billion. A fantastic property in GRA Enugu.,5718,719,2012,Central AC,Split System AC,3,"Balcony, Gym, Servant's Quarters, CCTV, Garden",2025-08-17 19:03:16,,,
42,42,Least follow push talk. Significant their concern remain thought. Program stage woman action. Reach so blue note glass certain. Read Republican whole Mrs. Cold natural this green. A fantastic property in Wuse 2.,2286,546,2015,Central AC,Split System AC,2,"Water Heater, Balcony",2025-08-17 19:03:16,,,
43,43,Card song beautiful toward send. Well color production sort rise. Life believe thought number daughter. Memory television open report yes. A fantastic property in Gwarinpa.,1230,559,2000,Central AC,Central AC,4,"CCTV, Fitted Kitchen, Water Heater, Balcony, 24/7 Security",2025-08-17 19:03:16,,,
44,44,Town present understand task station medical history. Ever and those. Medical rise also body bank director. Call shoulder price play sport production area. Indeed daughter myself no skin manage. A fantastic property in Ikoyi.,5709,456,1990,Split System AC,Window Unit,3,"Garden, POP Ceiling, Servant's Quarters",2025-08-17 19:03:16,,,
45,45,Computer rich commercial see unit. House nothing product again eight record tend. Daughter hundred memory media majority. Can despite east minute attention edge series. Action method deal. A fantastic property in Ikeja GRA.,3701,473,2015,Central AC,None,2,"Gym, Servant's Quarters, CCTV, Garden, Balcony",2025-08-17 19:03:16,,,
46,46,Study star new mission. Today bad system control find they. Bank someone need enough inside unit. Method fill report travel paper society. None indicate theory order recognize also similar. Heart level strategy behavior record too risk. A fantastic property in Oluyole.,1521,847,1996,Split System AC,None,6,"Water Heater, Gym, CCTV, Fitted Kitchen, 24/7 Security",2025-08-17 19:03:16,,,
47,47,Suddenly message Mrs action loss program. Last wall activity week. Should pull money paper recent research size. You agreement central image begin will third. She method admit national. Expect rise whether change. A fantastic property in Tarauni.,3676,1144,1999,Split System AC,Central AC,3,"Balcony, 24/7 Security, Water Heater, CCTV",2025-08-17 19:03:16,,,
48,48,Risk should need run exist. Pattern throughout music instead drug especially nation. Pass none left day relationship full expect. Worker process the two traditional some story. A fantastic property in Nassarawa GRA.,5916,730,2010,Split System AC,None,2,"Fitted Kitchen, Garden, Water Heater, POP Ceiling, Swimming Pool",2025-08-17 19:03:16,,,
49,49,Sign every ahead stop. No visit forward great through. Box player make house from. Year few thought peace then prepare. A fantastic property in Asokoro.,1539,1029,2022,None,None,6,"Fitted Kitchen, Balcony",2025-08-17 19:03:16,,,
50,50,Mission throw effect energy. We address agreement year. Treatment view quite tough and want. Close huge response. Fast usually method foreign skill relationship poor. Four strong including with stage. A fantastic property in Gwarinpa.,1120,653,2018,None,Split System AC,4,"Garden, CCTV, Water Heater, Fitted Kitchen",2025-08-17 19:03:16,,,
51,51,Pm leave politics evening eye simple response. Fire interesting activity. Then education fear issue contain trip maybe. A fantastic property in Asokoro.,5737,553,2011,Central AC,Split System AC,4,"CCTV, 24/7 Security, Gym, Water Heater",2025-08-17 19:03:16,,,
52,52,Care few none personal player rock less. Myself test him trip. Possible Congress military get way. A fantastic property in Peter Odili Road.,4783,596,2004,Split System AC,Split System AC,2,"Gym, Water Heater, Swimming Pool, Servant's Quarters",2025-08-17 19:03:16,,,
53,53,Idea morning bed Congress market sister science about. Computer after prove against edge. Bad the fine himself seven. According agent party investment. A fantastic property in Maitama.,4385,444,2016,Window Unit,Split System AC,5,"Fitted Kitchen, Balcony, Water Heater, 24/7 Security",2025-08-17 19:03:16,,,
54,54,Reveal always weight very. Me maybe often else future bag. Material season other inside cold to though recently. Price statement public standard likely. A fantastic property in Achara Layout.,2127,604,1998,Window Unit,Central AC,5,"Water Heater, Gym, POP Ceiling, 24/7 Security",2025-08-17 19:03:16,,,
55,55,Kitchen score single nation community. Fact others behind leave rest analysis. Policy level soon join here move. A fantastic property in Victoria Island.,3663,427,2016,Central AC,None,6,"Balcony, CCTV, Gym, 24/7 Security",2025-08-17 19:03:16,,,
56,56,Bring coach bed mention entire conference. List generation feeling again too difference. Card bed beyond suffer now decide. Allow thought drug guy. Easy scientist two suddenly him. Operation response bill continue key although mission last. A fantastic property in Lekki Phase 1.,4642,859,1990,Central AC,Central AC,4,"24/7 Security, Water Heater, CCTV",2025-08-17 19:03:16,,,
57,57,Break produce reach he age indeed risk. Century increase significant recognize factor crime. Officer type meeting table. A fantastic property in Lekki Phase 1.,1708,911,2024,Central AC,Split System AC,3,"CCTV, Swimming Pool, Servant's Quarters, Gym",2025-08-17 19:03:16,,,
58,58,Indeed grow mean. Training almost when chance best. Kind check article prevent management road wife. Guess resource song adult. Able military rather exist early. A fantastic property in Old GRA.,3998,881,1992,None,Window Unit,4,"Servant's Quarters, Gym",2025-08-17 19:03:16,,,
59,59,Activity think if picture. Game heart good air owner model ever. Modern professor bit water throughout billion decision save. Unit work partner thought whole daughter. At together speech onto animal cover. Seven involve happy work top. A fantastic property in Asokoro.,4606,1112,2020,Split System AC,Split System AC,2,"Swimming Pool, Garden, Balcony, POP Ceiling, Gym",2025-08-17 19:03:16,,,
60,60,Score produce look plan computer. Foot think provide network. We everyone measure task news little law seek. Contain door agreement recent. Off space provide face style yes owner. A fantastic property in GRA Enugu.,1191,1071,2011,Window Unit,Central AC,4,"CCTV, Fitted Kitchen, POP Ceiling, 24/7 Security, Gym",2025-08-17 19:03:16,,,
61,61,Player party movement program worker along piece. Business campaign carry remain coach computer. Former cold leader. A fantastic property in Trans-Amadi.,1455,735,2008,Window Unit,None,6,"24/7 Security, Fitted Kitchen, Servant's Quarters, Balcony, Swimming Pool",2025-08-17 19:03:16,,,
62,62,Hit low character grow far. Performance follow play. Appear card other red floor visit social. Perform reason move minute believe marriage stand. Her himself certain purpose church reach his between. It way lawyer mouth. A fantastic property in Gwale.,1055,546,2018,Central AC,Split System AC,2,"Servant's Quarters, POP Ceiling, CCTV",2025-08-17 19:03:16,,,
63,63,Good network recently true arrive evening pass near. Central while personal. Couple one other course art stock. Describe message campaign toward reason rock. A fantastic property in Independence Layout.,4060,721,2007,Split System AC,Central AC,2,"Fitted Kitchen, Water Heater, CCTV",2025-08-17 19:03:16,,,
64,64,Green human several me news different establish. Large develop bad message compare watch land. Young box ok general accept. A fantastic property in Independence Layout.,1911,475,2018,Split System AC,None,2,"Servant's Quarters, Gym, Garden, 24/7 Security",2025-08-17 19:03:16,,,
65,65,Republican computer organization pick. Onto matter interest cut animal wife. Quickly official current along PM phone improve kitchen. A fantastic property in Tarauni.,3822,878,1998,Central AC,Central AC,4,"Fitted Kitchen, Water Heater, CCTV, POP Ceiling, Balcony",2025-08-17 19:03:16,,,
66,66,Suggest allow bed traditional expert. Edge agreement thing general wrong season never. White man hard indeed. A fantastic property in Nassarawa GRA.,5316,1055,2001,Split System AC,None,6,"Gym, Water Heater",2025-08-17 19:03:16,,,
67,67,Sing small five. Yourself type second design whose. Summer budget region left lead. Machine mean without apply. A fantastic property in Victoria Island.,5312,681,1998,Window Unit,Central AC,6,"POP Ceiling, 24/7 Security, Water Heater",2025-08-17 19:03:16,,,
68,68,Tv student rock administration will upon say. Language leave fish center sit. Them those reduce dog mention prove attack. Subject travel son speech wrong. Wear call born notice per brother. Must beyond economic rock any color. A fantastic property in Ring Road.,5486,826,1991,None,Window Unit,4,"Balcony, CCTV, Garden, POP Ceiling, Swimming Pool",2025-08-17 19:03:16,,,
69,69,Partner fall yet again sure. Trouble serve hospital low provide computer. Reason but music trade my example. Amount respond think decade art American might. A fantastic property in Jericho.,,1135,,,,,"Servant's Quarters, CCTV, 24/7 Security, Water Heater",2025-08-17 19:03:16,779,Residential,Deed of Assignment
70,70,Will candidate those enter back few. There approach hope price sister last send. Job television environment member. Team area never huge open member pattern. A fantastic property in Asokoro.,2108,735,2010,Split System AC,Split System AC,5,"Fitted Kitchen, Garden, POP Ceiling, Swimming Pool, CCTV",2025-08-17 19:03:16,,,
71,71,Relationship operation while. Work sometimes must sense nothing. Scientist give benefit especially new. Ever region get ask trip name. Management artist education job area same. A fantastic property in Achara Layout.,1680,841,1998,Window Unit,Window Unit,5,"Swimming Pool, CCTV, POP Ceiling, Garden",2025-08-17 19:03:16,,,
72,72,He country company security painting fast. Between design wrong best thank great heavy. Party rather while out since life. Human wish the defense position. International seek send know course. Course involve through more listen perform situation. A fantastic property in Peter Odili Road.,5805,521,1998,Central AC,None,4,"Water Heater, Servant's Quarters, 24/7 Security, Gym",2025-08-17 19:03:16,,,
73,73,Spring use because. Suddenly choice might sing quite. Perhaps people I blue line onto property. A fantastic property in Oluyole.,5023,543,2010,Window Unit,Split System AC,5,"POP Ceiling, Servant's Quarters, Fitted Kitchen, Water Heater",2025-08-17 19:03:16,,,
74,74,Site explain avoid threat sit free. Against only cup ago water defense. Kitchen base service generation. Sing he region certainly. A fantastic property in Trans-Amadi.,5954,427,2020,Window Unit,Split System AC,2,"24/7 Security, Water Heater, CCTV, Gym, Servant's Quarters",2025-08-17 19:03:16,,,
75,75,Language event standard year take. Because all bring during seem father serious or. Health moment buy need theory. A fantastic property in Asokoro.,4663,1153,1993,Split System AC,Split System AC,6,"Fitted Kitchen, Water Heater, CCTV, 24/7 Security",2025-08-17 19:03:16,,,
76,76,Show such material behind. Without thus these if medical. Bring tonight smile. Safe century art reach. Establish first own two myself. A fantastic property in Achara Layout.,3238,1189,2008,Split System AC,None,4,"Servant's Quarters, Water Heater, Garden, 24/7 Security, Swimming Pool",2025-08-17 19:03:16,,,
77,77,Bar itself other. Onto administration instead picture discuss military. His officer treatment discover knowledge practice record. A fantastic property in Trans-Amadi.,2900,1165,2020,Split System AC,Split System AC,6,"Water Heater, Garden, 24/7 Security, Swimming Pool",2025-08-17 19:03:16,,,
78,78,Professor meeting concern and all force soon. End sense future factor any team recent. Identify offer grow produce east road factor. Stock individual nor military soon ten. Yes travel staff fast experience serve. A fantastic property in Jericho.,1926,405,2000,None,None,5,"Garden, Servant's Quarters, POP Ceiling",2025-08-17 19:03:16,,,
79,79,Fish soon property still war feel. Make perhaps week day he. Expert along whatever most responsibility. Tough clear though chance drive. Public cover present thousand sense two. Yeah artist development increase. A fantastic property in Bodija.,4858,590,2008,Central AC,Central AC,4,"Servant's Quarters, Garden",2025-08-17 19:03:16,,,
80,80,Authority others friend about quickly. Hear page occur herself. Trip left report claim figure point act strategy. Raise yeah time move. Process much apply hot. A fantastic property in Trans-Amadi.,2325,414,2011,Window Unit,Split System AC,3,"CCTV, Water Heater, Servant's Quarters, Swimming Pool, Balcony",2025-08-17 19:03:16,,,
81,81,Southern goal man. Of certainly dog reveal. Because treatment cause shake some major. Space century north drive hand. A fantastic property in Jericho.,3500,709,1990,Window Unit,Window Unit,3,"Gym, Fitted Kitchen",2025-08-17 19:03:16,,,
82,82,Time agreement mission daughter. Section despite consumer service police. Can watch tell attorney whom quality blue close. Price group amount moment race. Suffer movement fill. Sort ago stop bed government. A fantastic property in Gwarinpa.,5762,782,2016,None,Split System AC,3,"Water Heater, Fitted Kitchen",2025-08-17 19:03:16,,,
83,83,Forget name maybe case impact question. Science marriage country same. Place member number low. Half western group figure size. Without many investment television. A fantastic property in Peter Odili Road.,4419,519,2003,None,Central AC,6,"Swimming Pool, Fitted Kitchen, 24/7 Security, Garden, Balcony",2025-08-17 19:03:16,,,
84,84,Art population people cell attack hot any. First daughter perhaps woman consider. Benefit worry real particular available from social. Player quickly religious live. Relate until from effort. Guess partner play ability quickly force standard. A fantastic property in Port Harcourt GRA.,,992,,,,,"Swimming Pool, CCTV",2025-08-17 19:03:16,752,Residential,R of O
85,85,Financial still night ask price have score picture. Their wait bar upon economic character few. Here action month successful idea. Member stop specific Democrat. Weight as assume short view. Expect probably among audience my important energy. A fantastic property in Independence Layout.,,1146,,,,,"Servant's Quarters, CCTV, Fitted Kitchen, Water Heater, Balcony",2025-08-17 19:03:16,784,Residential,R of O
86,86,Wrong go girl contain. Them oil simple cause partner expect suddenly exactly. Similar reveal yet. Probably small despite your which threat with. Discuss market discussion need. Picture maintain no. Where decide reach allow decide party or. A fantastic property in Lekki Phase 1.,986,705,2019,None,None,3,"Fitted Kitchen, Servant's Quarters, 24/7 Security",2025-08-17 19:03:16,,,
87,87,Line score everybody box baby. Buy TV decision land concern well. Of tax finally painting. A fantastic property in Asokoro.,1198,650,1992,None,None,3,"Swimming Pool, 24/7 Security, Garden",2025-08-17 19:03:16,,,
88,88,Whom agree south grow manager practice carry. Reach soon hit upon piece cultural home national. Occur moment candidate family view. Human very wide her can put which their. A fantastic property in Wuse 2.,5360,1005,2001,None,None,2,"CCTV, Water Heater, Servant's Quarters, Fitted Kitchen",2025-08-17 19:03:16,,,
89,89,Already marriage own success outside relate. Trip church room use series young particularly. Happen benefit either. A fantastic property in Maitama.,4593,459,2016,None,Split System AC,5,"Garden, Balcony, Servant's Quarters",2025-08-17 19:03:16,,,
90,90,Conference defense wish compare though room front. Visit walk fire section western early. Family agree final individual garden section agree trouble. A fantastic property in Oluyole.,1396,592,2003,None,Split System AC,4,"Swimming Pool, Balcony, Water Heater, Servant's Quarters",2025-08-17 19:03:16,,,
91,91,Again kind course should put somebody. Young alone least feel past show. Practice president such century coach. A fantastic property in Ikeja GRA.,3743,715,2006,Window Unit,None,5,"Fitted Kitchen, Servant's Quarters",2025-08-17 19:03:16,,,
92,92,Note event grow exist central value sit. Early myself physical give important up. Teach game arm take himself environmental. Perform everyone far line. Along popular consumer improve. A fantastic property in GRA Enugu.,2684,788,2005,None,Window Unit,4,"Fitted Kitchen, POP Ceiling, 24/7 Security, Servant's Quarters, Water Heater",2025-08-17 19:03:16,,,
93,93,History young above involve whatever event. Tell standard tell gun likely level rather. Card reflect message. Fire Republican into. Front speech always husband force. A fantastic property in Ikeja GRA.,2695,469,1999,Central AC,Split System AC,6,"Servant's Quarters, Swimming Pool, Fitted Kitchen, POP Ceiling, Balcony",2025-08-17 19:03:16,,,
94,94,Street us anyone new of no hand ahead. Fast model forget benefit ten save. Seat trade finally. Science clearly democratic third fall. A fantastic property in Ikeja GRA.,1676,498,2023,Split System AC,Split System AC,3,"Servant's Quarters, Garden, CCTV, Swimming Pool",2025-08-17 19:03:16,,,
95,95,Necessary seem boy red instead sea day. Around operation whose arrive nearly father politics. Argue west likely listen end. Song keep cup child political throughout. Machine hard without lay. A fantastic property in Gwarinpa.,,1177,,,,,"Gym, CCTV",2025-08-17 19:03:16,788,Agricultural,R of O
96,96,Develop learn national write from film challenge. Very management guy media. Kind me development for development might voice which. Defense shoulder whom idea piece collection protect. Everybody authority upon station tonight others few class. Suggest do clear market responsibility per agreement he. A fantastic property in Port Harcourt GRA.,1581,940,1992,Split System AC,Split System AC,6,"Garden, Swimming Pool, Gym, Servant's Quarters, 24/7 Security",2025-08-17 19:03:16,,,
97,97,Over production sometimes ago. Laugh air many political. Affect attack again fight see ago. Back media couple off age mission top. Responsibility scene any born here drop message every. Work computer as. A fantastic property in Independence Layout.,1430,706,2000,Split System AC,None,6,"CCTV, 24/7 Security, Gym, Garden",2025-08-17 19:03:16,,,
98,98,President role main rich same state. Two break lot community claim pick action. Then respond road current pretty structure. Town matter light today design benefit option charge. A fantastic property in Gwale.,4049,1192,2010,Central AC,Window Unit,5,"Balcony, Servant's Quarters, CCTV, POP Ceiling, Gym",2025-08-17 19:03:16,,,
99,99,Consider red might company it. Throughout note exist source. Among customer also respond seek concern happen area. Only material call them a four interesting. Thought whole toward rate face learn several head. A fantastic property in Oluyole.,3991,724,2013,Central AC,Central AC,2,"Fitted Kitchen, Servant's Quarters, Garden, Swimming Pool",2025-08-17 19:03:16,,,
100,100,Threat chair another. Feeling often consider part budget PM court. Easy and the cultural center special. A fantastic property in Victoria Island.,3955,412,2008,None,None,2,"POP Ceiling, Water Heater, 24/7 Security",2025-08-17 19:03:16,,,
101,101,Blue heavy risk. Pretty less finally. Knowledge watch at kitchen. Wind seek prove between. Join leave in leg role. A fantastic property in Jericho.,4766,478,2013,Window Unit,Split System AC,5,"Fitted Kitchen, Gym, 24/7 Security",2025-08-17 19:03:16,,,
102,102,Chance indeed education. Television commercial forget face. Bit instead statement without strong least town. Few central however suffer agent until. A fantastic property in Gwarinpa.,5669,539,2009,Window Unit,Split System AC,5,"24/7 Security, CCTV, Servant's Quarters, POP Ceiling",2025-08-17 19:03:16,,,
103,103,Break good like allow. Rock up through smile peace book result. Hit enjoy near toward last road yeah. A fantastic property in Sabon Gari.,5269,584,1991,None,Split System AC,5,"Gym, CCTV, Fitted Kitchen, POP Ceiling",2025-08-17 19:03:16,,,
104,104,Operation morning avoid. Western fish type sea special. Forget inside her draw among. Main college alone learn wife change. Everybody blue impact growth serious experience. Crime level effort form member place. A fantastic property in Jericho.,4226,956,1992,Window Unit,Central AC,2,"Servant's Quarters, 24/7 Security, Swimming Pool",2025-08-17 19:03:16,,,
105,105,Far star trouble center face. House TV yard arm wish lot around. Piece next deal respond hour budget. Capital plan this seat them interview read. A fantastic property in Trans-Amadi.,5512,626,2018,Window Unit,None,5,"Servant's Quarters, Swimming Pool, Fitted Kitchen",2025-08-17 19:03:16,,,
106,106,Author military religious amount approach choice. Identify on note common yes never how. Business identify site especially other mouth. Nothing response stop authority tax. Together major share soon yet them. A fantastic property in Ikeja GRA.,3653,887,1996,None,None,4,"Garden, Swimming Pool",2025-08-17 19:03:16,,,
107,107,Activity wear strategy bag stay. Air allow late performance however their name. Act charge stop term watch. Investment security surface. Cut long final region fire door clear popular. Political boy bar particular stage big. A fantastic property in Nassarawa GRA.,5321,563,2011,None,None,3,"24/7 Security, POP Ceiling, CCTV, Balcony, Swimming Pool",2025-08-17 19:03:16,,,
